Dissemination Identifier,Original Dissemination Identifier,Action type,Event type,Event timestamp,Amendment indicator,Asset Class,Product name,Cleared,Mandatory clearing indicator,Execution Timestamp,Effective Date,Expiration Date,Maturity date of the underlier,Non-standardized term indicator,Platform identifier,Prime brokerage transaction indicator,Block trade election indicator,Large notional off-facility swap election indicator,Notional amount-Leg 1,Notional amount-Leg 2,Notional currency-Leg 1,Notional currency-Leg 2,Notional quantity-Leg 1,Notional quantity-Leg 2,Total notional quantity-Leg 1,Total notional quantity-Leg 2,Quantity frequency multiplier-Leg 1,Quantity frequency multiplier-Leg 2,Quantity unit of measure-Leg 1,Quantity unit of measure-Leg 2,Quantity frequency-Leg 1,Quantity frequency-Leg 2,Notional amount in effect on associated effective date-Leg 1,Notional amount in effect on associated effective date-Leg 2,Effective date of the notional amount-Leg 1,Effective date of the notional amount-Leg 2,End date of the notional amount-Leg 1,End date of the notional amount-Leg 2,Call amount-Leg 1,Call amount-Leg 2,Call currency-Leg 1,Call currency-Leg 2,Put amount-Leg 1,Put amount-Leg 2,Put currency-Leg 1,Put currency-Leg 2,Exchange rate,Exchange rate basis,First exercise date,Fixed rate-Leg 1,Fixed rate-Leg 2,Option Premium Amount,Option Premium Currency,Price,Price unit of measure,Spread-Leg 1,Spread-Leg 2,Spread currency-Leg 1,Spread currency-Leg 2,Strike Price,Strike price currency/currency pair,Post-priced swap indicator,Price currency,Price notation,Spread notation-Leg 1,Spread notation-Leg 2,Strike price notation,Fixed rate day count convention-leg 1,Fixed rate day count convention-leg 2,Floating rate day count convention-leg 1,Floating rate day count convention-leg 2,Floating rate reset frequency period-leg 1,Floating rate reset frequency period-leg 2,Floating rate reset frequency period multiplier-leg 1,Floating rate reset frequency period multiplier-leg 2,Other payment amount,Fixed rate payment frequency period-Leg 1,Floating rate payment frequency period-Leg 1,Fixed rate payment frequency period-Leg 2,Floating rate payment frequency period-Leg 2,Fixed rate payment frequency period multiplier-Leg 1,Floating rate payment frequency period multiplier-Leg 1,Fixed rate payment frequency period multiplier-Leg 2,Floating rate payment frequency period multiplier-Leg 2,Other payment type,Other payment currency,Settlement currency-Leg 1,Settlement currency-Leg 2,Settlement location-Leg 1,Settlement location-Leg 2,Collateralisation category,Custom basket indicator,Index factor,Underlier ID-Leg 1,Underlier ID-Leg 2,Underlier ID source-Leg 1,Underlying Asset Name,Underlying asset subtype or underlying contract subtype-Leg 1,Underlying asset subtype or underlying contract subtype-Leg 2,Embedded Option type,Option Type,Option Style,Package indicator,Package transaction price,Package transaction price currency,Package transaction price notation,Package transaction spread,Package transaction spread currency,Package transaction spread notation,Physical delivery location-Leg 1,Delivery Type
530354134,529249436.0,MODI,TRAD,2023-01-19T21:22:44Z,True,EQ,Equity:PortfolioSwap:PriceReturnBasicPerformance:SingleName,N,,2021-12-17T21:00:06Z,2021-12-17,2023-10-30,,False,BILT,,,,"380,000",,USD,,,,"24,000",,,,SHAS,,,,,,,,,,,,,,,,,,,,,,,,,16.109863014,ACCY,,,,,,,False,USD,1.0,,,,,,,,,,,,,,,,,,,,,,,USD,,,,,False,,US0758961009,,ISIN,,,,,,,False,,,,,,,,Cash
530251194,529084532.0,MODI,TRAD,2023-01-19T17:31:47Z,True,EQ,Equity:PortfolioSwap:PriceReturnBasicPerformance:SingleName,N,,2023-01-18T16:35:47Z,2023-01-18,2024-11-27,,False,BILT,,,,"2,400",,EUR,,,,620,,,,SHAS,,,,,,,,,,,,,,,,,,,,,,,,,3.88351134,ACCY,,,,,,,False,EUR,1.0,,,,,,,,,,,,,,,,,,,,,,,EUR,,,,,False,,US0758961009,,ISIN,,,,,,,False,,,,,,,,Cash
531490274,,NEWT,TRAD,2023-01-20T22:01:57Z,,EQ,Equity:PortfolioSwap:PriceReturnBasicPerformance:SingleName,N,,2023-01-20T22:01:57Z,2023-01-20,9999-12-31,,False,BILT,,,,"29,000","29,000",USD,USD,,,"8,300","8,388",,,SHAS,SHAS,,,,,,,,,,,,,,,,,,,,,,,,3.498617154802,ACCY,,,,,,,False,USD,1.0,,,,,,,A004,,DAIL,,1.0,,,,,MNTH,,,,1.0,,,USD,USD,,,,False,,US0758961009,,ISIN,,,,OPET,,,False,,,,,,,,Cash
531496715,,NEWT,TRAD,2023-01-20T22:07:08Z,,EQ,Equity:PortfolioSwap:PriceReturnBasicPerformance:SingleName,N,,2023-01-20T22:07:08Z,2023-01-20,9999-12-31,,False,BILT,,,,"4,300","4,300",USD,USD,,,"1,300","1,250",,,SHAS,SHAS,,,,,,,,,,,,,,,,,,,,,,,,3.4018848,ACCY,,,,,,,False,USD,1.0,,,,,,,A004,,DAIL,,1.0,,,,,MNTH,,,,1.0,,,USD,USD,,,,False,,US0758961009,,ISIN,,,,OPET,,,False,,,,,,,,Cash
531497716,,NEWT,TRAD,2023-01-20T22:08:32Z,,EQ,Equity:PortfolioSwap:PriceReturnBasicPerformance:SingleName,N,,2023-01-20T22:08:32Z,2023-01-20,9999-12-31,,False,BILT,,,,"4,300","4,300",USD,USD,,,"1,300","1,273",,,SHAS,SHAS,,,,,,,,,,,,,,,,,,,,,,,,3.401887780602,ACCY,,,,,,,False,USD,1.0,,,,,,,A004,,DAIL,,1.0,,,,,MNTH,,,,1.0,,,USD,USD,,,,False,,US0758961009,,ISIN,,,,OPET,,,False,,,,,,,,Cash
531499767,530425100.0,MODI,TRAD,2023-01-20T22:10:28Z,True,EQ,Equity:PortfolioSwap:PriceReturnBasicPerformance:SingleName,N,,2019-05-29T17:31:09Z,2019-05-29,2023-01-31,,False,BILT,,,,5,,USD,,,,5,,,,SHAS,,,,,,,,,,,,,,,,,,,,,,,,,12.933481,ACCY,,,,,,,False,USD,1.0,,,,,,,,,,,,,,,,,,,,,,,USD,,,,,False,,US0758961009,,ISIN,,,,,,,False,,,,,,,,Cash
531499778,530425124.0,MODI,TRAD,2023-01-20T22:10:30Z,True,EQ,Equity:PortfolioSwap:PriceReturnBasicPerformance:SingleName,N,,2022-08-24T22:03:01Z,2022-08-24,2024-08-16,,False,BILT,,,,5,,USD,,,,5,,,,SHAS,,,,,,,,,,,,,,,,,,,,,,,,,10.36,ACCY,,,,,,,False,USD,1.0,,,,,,,,,,,,,,,,,,,,,,,USD,,,,,False,,US0758961009,,ISIN,,,,,,,False,,,,,,,,Cash
531414212,517895891.0,MODI,TRAD,2023-01-20T21:15:17Z,True,EQ,Equity:PortfolioSwap:PriceReturnBasicPerformance:SingleName,N,,2021-12-02T20:59:44Z,2021-12-02,2026-05-28,,False,BILT,,,,"16,000",,USD,,,,900,,,,SHAS,,,,,,,,,,,,,,,,,,,,,,,,,17.77776754756,ACCY,,,,,,,False,USD,1.0,,,,,,,,,,,,,,,,,,,,,,,USD,,,,,False,,US0758961009,,ISIN,,,,,,,False,,,,,,,,Cash
531422196,530354134.0,MODI,TRAD,2023-01-20T21:20:48Z,True,EQ,Equity:PortfolioSwap:PriceReturnBasicPerformance:SingleName,N,,2021-12-17T21:00:06Z,2021-12-17,2023-10-30,,False,BILT,,,,"450,000",,USD,,,,"28,000",,,,SHAS,,,,,,,,,,,,,,,,,,,,,,,,,16.095531954,ACCY,,,,,,,False,USD,1.0,,,,,,,,,,,,,,,,,,,,,,,USD,,,,,False,,US0758961009,,ISIN,,,,,,,False,,,,,,,,Cash
532093462,,NEWT,TRAD,2023-01-23T22:00:41Z,,EQ,Equity:PortfolioSwap:PriceReturnBasicPerformance:SingleName,N,,2023-01-23T22:00:41Z,2023-01-23,9999-12-31,,False,BILT,,,,"5,700","5,700",USD,USD,,,"1,800","1,787",,,SHAS,SHAS,,,,,,,,,,,,,,,,,,,,,,,,3.173731,ACCY,,,,,,,False,USD,1.0,,,,,,,A004,,DAIL,,1.0,,,,,MNTH,,,,1.0,,,USD,USD,,,,False,,US0758961009,,ISIN,,,,OPET,,,False,,,,,,,,Cash
